date,open,high,low,close,volume,average,barCount
2022-12-29 15:30:00+01:00,3805.45,3816.61,3805.45,3814.9,0.0,0.0,291
2022-12-29 15:35:00+01:00,3814.7,3823.41,3814.05,3821.87,0.0,0.0,289
2022-12-29 15:40:00+01:00,3821.97,3830.42,3821.97,3826.48,0.0,0.0,289
2022-12-29 15:45:00+01:00,3826.44,3830.1,3826.24,3829.6,0.0,0.0,288
2022-12-29 15:50:00+01:00,3829.58,3831.46,3824.31,3828.59,0.0,0.0,284
2022-12-29 15:55:00+01:00,3828.74,3832.92,3828.71,3830.84,0.0,0.0,288
2022-12-29 16:00:00+01:00,3830.82,3834.89,3829.16,3830.74,0.0,0.0,291
2022-12-29 16:05:00+01:00,3830.72,3837.56,3829.89,3835.62,0.0,0.0,284
2022-12-29 16:10:00+01:00,3835.6,3839.96,3835.6,3839.39,0.0,0.0,279
2022-12-29 16:15:00+01:00,3839.37,3843.26,3839.37,3843.26,0.0,0.0,278
2022-12-29 16:20:00+01:00,3843.27,3844.15,3840.42,3841.67,0.0,0.0,283
2022-12-29 16:25:00+01:00,3841.72,3841.72,3837.87,3838.26,0.0,0.0,277
2022-12-29 16:30:00+01:00,3838.44,3843.99,3838.44,3843.99,0.0,0.0,279
2022-12-29 16:35:00+01:00,3844.05,3846.09,3843.56,3845.01,0.0,0.0,281
2022-12-29 16:40:00+01:00,3845.09,3846.04,3844.1,3844.41,0.0,0.0,273
2022-12-29 16:45:00+01:00,3844.42,3844.57,3840.96,3841.35,0.0,0.0,285
2022-12-29 16:50:00+01:00,3841.64,3845.32,3841.64,3844.76,0.0,0.0,280
2022-12-29 16:55:00+01:00,3844.75,3847.47,3844.57,3846.64,0.0,0.0,274
2022-12-29 17:00:00+01:00,3847.05,3847.64,3843.76,3844.4,0.0,0.0,274
2022-12-29 17:05:00+01:00,3844.19,3845.07,3840.95,3841.59,0.0,0.0,270
2022-12-29 17:10:00+01:00,3841.6,3842.78,3838.52,3839.89,0.0,0.0,276
2022-12-29 17:15:00+01:00,3839.88,3843.61,3839.64,3842.38,0.0,0.0,275
2022-12-29 17:20:00+01:00,3842.34,3843.4,3840.11,3841.58,0.0,0.0,269
2022-12-29 17:25:00+01:00,3841.61,3844.53,3841.58,3844.05,0.0,0.0,269
2022-12-29 17:30:00+01:00,3844.03,3850.21,3844.03,3849.64,0.0,0.0,281
2022-12-29 17:35:00+01:00,3849.71,3849.76,3848.14,3849.32,0.0,0.0,273
2022-12-29 17:40:00+01:00,3849.33,3850.53,3848.83,3850.22,0.0,0.0,277
2022-12-29 17:45:00+01:00,3850.26,3853.92,3850.12,3853.49,0.0,0.0,266
2022-12-29 17:50:00+01:00,3853.5,3857.28,3853.4,3856.62,0.0,0.0,270
2022-12-29 17:55:00+01:00,3856.6,3856.78,3854.45,3854.61,0.0,0.0,261
2022-12-29 18:00:00+01:00,3854.49,3855.4,3853.09,3853.27,0.0,0.0,271
2022-12-29 18:05:00+01:00,3853.26,3854.65,3851.88,3854.58,0.0,0.0,265
2022-12-29 18:10:00+01:00,3854.73,3856.23,3853.01,3853.01,0.0,0.0,258
2022-12-29 18:15:00+01:00,3852.65,3855.82,3852.01,3855.01,0.0,0.0,270
2022-12-29 18:20:00+01:00,3855.02,3856.37,3854.3,3854.74,0.0,0.0,262
2022-12-29 18:25:00+01:00,3854.68,3854.68,3852.75,3853.33,0.0,0.0,275
2022-12-29 18:30:00+01:00,3853.35,3854.54,3852.06,3852.8,0.0,0.0,268
2022-12-29 18:35:00+01:00,3852.79,3852.96,3848.33,3849.19,0.0,0.0,263
2022-12-29 18:40:00+01:00,3849.22,3851.47,3849.03,3850.89,0.0,0.0,267
2022-12-29 18:45:00+01:00,3851.0,3851.64,3850.1,3850.29,0.0,0.0,271
2022-12-29 18:50:00+01:00,3850.33,3854.37,3850.33,3854.3,0.0,0.0,257
2022-12-29 18:55:00+01:00,3854.29,3854.77,3853.33,3853.71,0.0,0.0,257
2022-12-29 19:00:00+01:00,3853.45,3854.74,3851.72,3851.74,0.0,0.0,276
2022-12-29 19:05:00+01:00,3851.72,3852.19,3847.66,3848.38,0.0,0.0,277
2022-12-29 19:10:00+01:00,3848.32,3851.69,3848.32,3851.41,0.0,0.0,263
2022-12-29 19:15:00+01:00,3851.39,3853.42,3849.9,3851.53,0.0,0.0,266
2022-12-29 19:20:00+01:00,3851.45,3851.68,3849.12,3851.2,0.0,0.0,261
2022-12-29 19:25:00+01:00,3851.18,3852.55,3850.97,3851.23,0.0,0.0,261
2022-12-29 19:30:00+01:00,3851.25,3851.82,3849.18,3851.33,0.0,0.0,269
2022-12-29 19:35:00+01:00,3851.11,3851.4,3849.1,3851.4,0.0,0.0,254
2022-12-29 19:40:00+01:00,3851.39,3853.8,3851.39,3853.39,0.0,0.0,261
2022-12-29 19:45:00+01:00,3853.4,3854.1,3851.55,3852.35,0.0,0.0,255
